CharacterID,CharacterName,CharacterRealName,CharacterPicture,CharacterPowers,CharacterBiography,CharacterWeaknesses,ComicID
225,"Captain Marvel Jr. (DC)(Post Crisis)","Freddy Freeman.",225_20060830181348_char.jpg,,"None entered.",,0
233,"Mist (01 - Kyle)",Kyle,233_20081229160928_char.jpg,,"None entered.",,0
234,"Mist (02 - Nash)",Nash,,,"None entered.",,0
237,Charity,"Charity O'Dare",237_20080423215904_char.jpg,,"Originally from the Southern United States, Charity was a fortune teller who lived in a mansion and told forbidden tales to townsfolk, until they stopped coming.  Moving to Opal City, Charity saw the future of Jack Knight, and also hoped to meet the man she would one day marry.  She also hopes to move to Turk County one day.",,0
238,"Black Pirate (01 - Jon Valor)","Jon Valor",238_20081129093240_char.jpg,,"A 16th century British nobleman, John Valor took to the high seas as a pirate when it became clear that he was morally on the wrong side of the wave of political upheaval in Europe at the time.  He was due to be executed by King Philip of Spain, when the King learned he had just married his own ward, Donna Bonita.  The King then struck a bargain with Valor, promising him life, if he would serve the Spanish flag.  Valor agreed under the condition that the flag would always represent the cause of justice.  Eventually, though, Spain disappointed, and Valor fled back to England.   He and Donna had a son, Justin, who took to the seas with him.  Justin, though, eventually was injured, forcing Valor to rethink his life.   He thus unmasked himself before King Charles and swore to disavow the pirate's life forever.  HIs son, though, had made no such vow, and became embroiled in the cause of the Puritans.  Needing cash for their impending journey to America, Justin pirated Charles' vessels for the Puritans.  Charles called Valor out of retirement to discover who was behind this new wave of pirating.  When Jon investigated he was shocked to discover it was his own son.  They made a peace, however, that allowed Justin to set sail for America with the Puritans, and satisfy Charles' requirement that Jon end the wave of pirating. Long gone from the pages of comic books, the Black Pirate recently appeared in Robinson's 90's Starman revival--as a ghost.",,0
250,"Alexander Joseph 'Lex' Luthor (DC)(Post Crisis)",,250_20060309224513_char.jpg,,"The modern version of Lex Luthor is still brilliant, but his business acumen and political savvy is emphasized to a much greater degree than it ever was.  If it can be said that John Byrne's revamp of Superman in 1986 has largely been recanted by 2005, his new spin on Luthor has been celebrated and emphasized by subsequent writers.  The \"new\"" Lex Luthor is a multi-layered threat to the Man of Steel",,0
251,"Black Mask (DC)(01 - Roman Sionis)","Roman Sionis",251_20070330213102_char.jpg,,"Roman Sionis was born into one of Gotham City?s elite families, to parents who were wealthy and utterly self-absorbed, caring more about their social status than their son; moments after his birth, the doctor carelessly dropped him on his head. Roman's parents were less concerned about their son's well-being and more concerned about covering up the entire incident out of fear of how their wealthy friends would react to the news of their son's injury. A second incident occurred when he was a child. While at the Sinois family country estate he was attacked by a rabid raccoon. This incident was also covered up by the Sionis family, with Roman being forbidden from mentioning it to anyone. Further adding to the cauldron was his father's \"friendship\"" with Thomas Wayne; both of Roman's parents disliked the Waynes and were quite vocal about it in private with their son. However",,0
253,"Blue Beetle (DC)(02 - Ted Kord)","Theodore Stephen 'Ted' Kord",253_20110814080320_char.jpg,,"Originally created by Steve Ditko for Charlton, this is the Blue Beetle active between Crisis on Infinite Earths and Infinite Crisis .  He passed into the DCU following Charlton's sale to DC, and was an important part of the two Crises .  Undoubtedly, though, he will always be remembered for his greater role in the run-up to Infinite Crisis . Unlike the previous Blue Beetle, Dan Garrett, Ted was really not much more than a well-trained athlete, though he did have an exceptional mind.  He was, thus, a somewhat redundant character in the DCU, given the greater prominence of the similar Batman and Mr. Terrific.  His distinction was that he was possessed of a much lighter personality than these DC-created characters, and so tended to attract a unique following of his own, despite the sameness of his \"powers\"".   He was a more realistic version of the character archetype",,0
254,"Blue Devil","Daniel Cassidy",254_20051219010959_char.jpg,"Even before he became Blue Devil, Dan Cassidy was a highly trained martial artist and acrobat. His costume included Kevlar body armor, visual and auditory amplifiers, radio gear, and servo-motors which increased his strength at least twenty-fold. After be","Dan Cassidy was a special effects wizard and stuntman hired to create and play the title character in the movie Blue Devil. To that end Cassidy created a full-body costume with a hidden powered exoskeleton and built-in special-effects devices. When two of his co-stars accidentally freed a demon named Nebiros, Cassidy used his costume to drive the demon back, but not before being blasted with mystical energy. After the fight, Cassidy found that the blast had permanently grafted the Blue Devil costume to his body. Cassidy quickly found himself embroiled in repeated adventures and conflicts with supervillains. Apparently, the blast that fused him with his costume had also turned him into a sort of \"weirdness magnet\"". Although he continued to seek a way to regain a normal life","Standard Demon weaknesses, i.e. Holy Water, Hallowed Ground",0
256,"Etrigan the Demon (DC)",Etrigan,256_20060720075930_char.jpg,,"None entered.",,0
257,"Captain Marvel (DC)(Post Crisis)","Billy Batson",1/10/257_20051112034940_char.jpg,"The abilities of Captain Marvel are summed up in his magic word.","Alone and on the streets of a major metropolitan city, orphaned newsboy Billy Batson was led into an abandoned subway tunnel by a mysterious stranger. On an out-of-service rail-track an odd and driverless subway car stopped to pick-up Billy and his companion. Following a brief trip, Billy and the stranger disembarked the train and walked down a ancient hallway. On one side of the cavernous hall grotesque statues of the Seven Deadly Enemies of Man: Pride, Envy, Greed, Hatred, Selfishness, Laziness and Injustice loomed. As mysteriously as he appeared the stranger vanishes. Sitting on a throne at the far-end of the hall is a wizened old man with long white hair and a full, almost floor-length white beard. At the old man’s beckoning, Billy steps forward and stops in front of the throne. The old man announces himself by proclaiming, \"I am Shazam!","Cap can get a bit nervous around forward women. He's also a mere mortal in his Billy Batson identity, and can be hurt or killed like anybody else (unless he can get the magic lightning to strike in time).",0
259,"The Infernal Dr. Pip","Dr. Pip",,,"None entered.",,0
261,"Copperhead (DC)(01 - Unknown)",,261_20070217061424_char.jpg,"The original Copperhead's contortionist skills allow him to fit himself into incredibly small spaces (such as chimneys). He originally wore a snake-themed costume. The suit was a weave of metallic and elastic fibers coated in vulnerable points (such as th","The criminal known as Copperhead first appeared in Gotham City in a snake costume. He committed numerous thefts before finally being apprehended by Batman and the first Batgirl. Copperhead then turned to more deadly pursuits as a super-assassin, constricting victims to a suffocating death with his costume's tail. During this time, he would become obsessive about his target and think of nothing until the target was dead, which proved to be a weakness at times as he would ignore anything he did not consider immediately relevant. Copperhead used the travel opportunities his freelance career afforded him to pursue his hobby of collecting transistor radios. Although a master contortionist, Copperhead was largely powerless without his snakeskin costume. He later sold his soul to the demon Neron in exchange for more power, being transformed into a deadly Snake/Man hybrid. He was later killed by Manhunter, Kate Spencer.",,0
263,"Deathstroke the Terminator (DC)","Slade Wilson",263_20060902063053_char.jpg,,"None entered.",,0
267,"Black Canary (DC)(01 - Dinah Drake-Lance)","Dinah Drake-Lance",267_20070213185310_char.jpg,"* Escape Artist * Intellect * Unarmed Combat * Weapon Master","The mother of Black Canary (02 - Dinah Laurel Lance). Dinah Drake was the original Black Canary of the Golden Age.",,0
270,"Firestorm (DC)(05 - Ronnie Raymond)","Ronnie Raymond",1/22/270_20051202220610_char.jpg,"Firesorm V possesses all the powers as Firestorm I.","Learning he had contracted leukemia, Ronnie Raymond underwent radiation therapy, when he suddenly burst into flames.  Ronnie could not control these powers, and Extreme Justice was called in to help Ronnie control his powers. Learning of Ronnie's plight, Professor Stein returned to Earth and offered Ronnie the chance to merge with him once again, as Stein was losing his humanity.  Rejecting Stein's offer, Stein used his abilities to alter Ronnie's molecular structure, thus removing the leukemia from his body and restoring Ronnie his full abilities as Firestorm, no longer requiring a merger. Following the events of Identity Crisis, Ronnie Raymond is believed to be deceased.","Firestorm V possesses all the weaknesses as Firestorm I.",0
276,"Big Barda (DC)",Barda,276_20070815125045_char.jpg,"Great strength and endurance. Wields a mega-rod, which produces extremely powerful concussive bursts.","One of the Female Furies, ruthless mercenaries in the employ of Darkseid, 'Big Barda' rebelled against her superiors when she fell in love with Scott Free and helped him escape from the planet Apokolips, later following him to Earth and becoming his wife. She struggled to adapt to Earthly ways of doing things and acted as a peripheral member of the planet's super-hero community for many years until she and Scott moved back to New Genesis, Apokolips' good mirror image. Recently, Barda was assigned to help the heroes of earth, and specifically the JLA to prepare for confrontation with Mageddon. When this threat was ended, Barda returned to New Genesis, with some regrets at leaving her new friends behind. However, it appears that she and Scott have now moved back to Earth once more, as she has helped Superman and his allies reach Apokolips on more than one occasion in recent months.",,0
280,Highfather,"Izaya The Inheritor",280_20070214054758_char.jpg,"Commanding presence possesses superhuman strength and invulnerability focuses energies from the omnipotent Source through his staff.","None entered.",,0
283,"Mr. Miracle (DC)(02 - Scott Free)","Scott Free",1/10/283_20051112034424_char.jpg,"Like all the New Gods. Mr. Miracle is an immortal with superhuman physical attributes, great intellect, heir of The Alpha Effect and retains knowledge of the Anti-life Equation. Also Mr. Miracle is a super escape artist, master fighter and inventor. Equip","Imprisoned as an infant on the planet Apokolips, he managed to escape to Earth where he vowed never to be imprisoned again.",Radion,0
284,"Orion (DC)",Orion,284_20061221071756_char.jpg,,"None entered.",,0
286,"Firestorm (DC)(06 - Jason Rusch)","Jason Rusch",1/22/286_20051202220659_char.jpg,,"None entered.",,0
291,"Captain Atom (DC)(Post Crisis)","Nathaniel  Christopher Adam",291_20051216195022_char.jpg,"Nearly indestructible metal alloy skin, energy blasts from hands, flight, super strength, ability to absorb energy, time travel (only forward and only when he absorbs too much energy), and rapid healing.","Superficially, there are two different Captains Atom (the Silver/Bronze Age Captain Atom from Charlton Comics and the Modern Age Captain Atom from DC Comics).  Recent events, however, allow for the interpretation that they are, in fact, the same character--from a certain point of view. Pre- Crisis The first Captain Atom, created by Steve Ditko at Charlton, was Captain Allen Adam, a straight-arrow, pre-Vietnam cold warrior in the US Air Force.  While testing a new missile for the AIr Force,  he got caught up in its nuclear explosion in space.  This disintegrated, then somehow reintegrated him, giving him access to the \"raw\"" power of atomic energy. This character did briefly appear in the pre- Crisis DCU","The X-Ionizer",0
294,"Wonder Woman (DC)(Earth-1 - Pre Crisis)(01- Diana)","Diana Prince",1/16/294_20051121225343_char.jpg,,"This version of Wonder Woman might be said to have not existed, as well, and certainly a number of her adventures are properly assigned to Hippolyta, from a post-Crisis perspective. It is this version of Wonder Woman that went through the most profound changes.  She went from being a fairly bland (read: safe) version of herself that really had a lot in common with the animated Super Friends version.  She was all about super powers and kickin' ass, with just a pinch of her Amazonian legacy thrown in.  By the early-mid 70s, though, she had abandoned the uniform and powers entirely, and adopted a role much closer to a secret agent.  She studied with a martial arts expert, took a job as the proprietor of a hip clothing store, and wasn't seen for a couple of years in her Wonder Woman outfit.  This era drew criticism, though, so she regained her powers and went on a 2-year quest to be returned to active duty in the JLA.  No sooner had she endured her trials when the Wonder Woman title started telling Earth 2 Wonder Woman stories, in deference to the setting of the Wonder Woman TV show.  When the show, in its later seasons, returned to the present, the comic returned to Earth 1, and the newly-JLA-reinstated Wonder Woman. During the Crisis , Diana was thought to have been killed.  However, as the Pérez run would make clear, she hadn't been killed, but sent back in time. And this , out of all of Wonder Woman's adventures, is where it gets weird. Somehow, in a way not adequately explained, she wasn't just thrown back in time.  She was actually devolved to the day she'd been formed of clay.  In other words, the Crisis affected her in a way substantially differently than it did any other character in the DCU.  Wonder Woman II and Wonder Woman III are the same person, but neither has knowledge of the other.  We speak of \"reboots\"" frequently in assessing the history of comic books",,0
296,"Superman (DC)(Earth-1 - Pre Crisis)","Kal-El / Clark Kent",296_20100512114210_char.jpg,"He has super strength; super-speed; super hearing; microscopic and telescopic sight; super breath; super intelligence; flight; super vocal and ventriloquist powers; super photographic, radar, X-Ray and heat vision.","Kal-El was born on the alien planet Krypton. When he was an infant, Krypton was heading towards destruction. He was sent to Earth via rocketship by his parents just before his home planet was destroyed. His ship crashed in Kansas and was discovered by Jonathan and Martha Kent, who adopted him as their own. As he grew up, his superpowers began to manifest. His superpowers developed due to Earth's yellow sun.","- Kryptonite can nullify his powers and, if exposed to it long enough, can kill him. - a red sun - virus-x - X-ray vision cannot penetrate Lead - Vulnerable to magic spells",0
310,"Cyborg (DC)","Victor 'Vic' Stone",310_20070214222415_char.jpg,,"None entered.",,0
311,"Raven (DC)(04 - Rachel Roth)","Rachel Roth",1/6/311_20051019035441_char.jpg,,"None entered.",,0
313,"Starfire (DC)(03 - Koriand'r)",Koriand'r,313_20061104065034_char.jpg,,"None entered.",,0
314,"Elongated Man (DC)","Ralph Dibny",314_20060730203145_char.jpg,"Can elongate any part of his body.","Intrigued by the “Indian Rubber Men” he saw at carnivals throughout his youth, Ralph Dibny spent years trying to learn their secret. Eventually he noticed that many of the contortionists liked a particular soft drink called Gingold. He isolated the key ingredient—the juice of a little-known tropical fruit called the gingo—and distilled it. By drinking this gingold extract, Dibny gained the ability to stretch any part of his body to fantastic lengths. Recently, Sue was tragically killed in the couple’s Opal City home. In his grief, Ralph has quit drinking Gingold and given up his powers. He is investigating a resurrection cult, and the mystery of the Helmet of Fate.",,0
315,"Sue Dearbon Dibny (DC)",,315_20061210164910_char.jpg,,"Wife of Ralph Dibny, The Elongated Man.",,0
337,"Atom (DC)(02 - Ray Palmer)","Raymond 'Ray' Palmer",337_20051228032200_char.jpg,"Can shrink to sub-atomic size.  World-class scientist; in the very top tier of intellectual prowess in the DCU.  Intentionally created the mechanism by which he shrinks.  Travels rapidly through phone lines and along other conduits not normally available ","Character has existed as both an adult and a teenager in the DCU, thanks to the events of Zero Hour.  As a teenager, he was the leader of the Teen Titans (II), having been de-aged with all his memories as an adult intact.  As an adult, both before and eventually after Zero Hour. he was a member of the JLA.",,0
338,"Jean Loring",,338_20070401134911_char.jpg,,"Once married to Raymond 'Atom' Palmer. Now she's married to Paul Hoben.",,0
344,"Chronos (DC)(01 - David Clinton)","David Clinton",1/6/344_20051031024144_char.jpg,,"Considered by some to be the arch-nemesis of the Atom (Ray Palmer), Chronos started his career as petty thief David Clinton who attributed his consistent incarceration to his timing, or lack there of. To improve his timing he studied the rhythm of time pieces and by practice he learned to synchronize each of his actions with the beat of the prison clock. By the end of his sentence he had developed an extraordinary sense of timing which he resolved to use to further his criminal career. He then adopted the colorful costume and alter ego of Chronos, the Time Thief. Clinton had acquired an unhealthy fascination with time and he developed a series of gimmick weapons and deathtraps based on time pieces (clocks with blades as hands, flying sun dials). Chronos made his debut in Ivy Town, but was defeated by the Atom. He next tried to steal a collection of historic Hungarian clocks, but was again defeated. The Atom has since thwarted all of Chronos plans. Each appearance or new crime prompted an evolution in Chronos's weaponry. His study of time led to more intricate and revolutionary inventions -- lenses that prevent people from seeing certain events (e.g. his getaway vehicle or another specific object), circuitry embedded in his costume that could control the local flow of time (freezing people in time or altering his own perception of time), and ultimately a fully functional time machine (before it and the designs were destroyed). One story suggested that Chronos may have been receiving help from a future version of himself, but it is unknown at what relative time frame that Chronos came from. Chronos eventually stopped stealing for his own gain and began stealing to finance his time research. The Atom had always thwarted Chronos, but he had decided to turn his back on humanity and had retreated to a peaceful seclusion with a group a six-inch tall aliens in the Amazonian jungle. Chronos had more success without the Atom, but he brought himself to the attention of the Blue Beetle (Ted Kord) when he tried to blackmail one of the employees of Kord Inc. He also fought the Beetle during Darkseid's anti-hero riots. During one struggle against the Beetle, Chronos was hurled 100 million years into the past where he encountered a time-lost Captain Atom. Upon his return to the present Chronos was able to use his technology to manipulate the money markets to amass a fortune, but old habits die hard, and Chronos's illegal endeavors were discovered and he was returned to prison. He was freed by the Calendar Man to work with the Time Foes, but was captured by the Team Titans. Out of desperation and humiliation, Chronos took a drastic chance -- he accepted an offer from the demon Neron and exchanged his soul for the metahuman ability to travel through time. However bargains with Neron are never fair and Chronos found that each journey through the timestream accelerated his ageing. A man who should have been a healthy adult became an aged senior citizen. All the experiments and Neron's \"gift\"" had taken a toll on Clinton's body and be began to loose touch with any sense of the \""now.\"" He had trouble staying localized in time and appeared to fade away into nothingness. His disappearance was enough for him to be declared dead and speculation has suggested that he may have slipped into \""The Void\"" of time. A funeral of sorts was held and his research was passed on to the second Chronos (Walker Gabriel). This entry uses material derived in whole or in part from wikipedia.org ."",,0
345,"Doctor Light (DC)(03 - Arthur Light)","Arthur Light",345_20070204195029_char.jpg,,"None entered.",,0
346,"Doctor Light (DC)(04 - Kimiyo Hoshi)","Kimiyo Hoshi",346_20061206231222_char.jpg,"Doctor Light has the ability to manipulate ambient light for a variety of purposes. She can absorb all forms of illumination, and release that absorbed energy as blinding flashes or light, or destructive laser beams. She can refract light waves to create ","She needs a light source to fuel her powers, and being placed in an area of absolute darkness severely weakens her abilities."," and fire blasts of pure force or create protective barriers. She can fly by riding light waves."",0
347,"Hawkwoman (DC)(Post Crisis)(01 - Shayera Thal)","Shayera Thal",347_20070801232709_char.jpg,,"None entered.",,0
354,"Huntress (DC)(Post Crisis)(02 - Helena Bertinelli)","Helena Janice Bertinelli",354_20070219055305_char.jpg,,"None entered.",,0
368,"Black Adam (DC)(Post Crisis)",Teth-Adam,368_20070317133049_char.jpg,,"In this revised origin (told in Power of Shazam! #10), Teth-Adam was the son of the ancient Egyptian Pharaoh Rameses II, and impressed one of the high priests, the wizard Shazam, with his good deeds. The wizard had the young prince brought before him, and ordered him to speak his name. Teth-Adam did so, and was transformed into Mighty-Adam, a superhero possessing the stamina of Shu, the swiftness of Heru (Horus), the strength of Amon, the wisdom of Zehuti, the power of Aton, and the courage of Mehen. Mighty-Adam served as Egypt's champion for many centuries, but became corrupted by the charms of a mysterious woman, revealed to be Shazam's evil daughter Blaze in disguise. Bewitched by Blaze, Adam became convinced that he and his mistress should rule the Egyptian kingdom, so he killed the Pharaoh and appointed himself ruler. Shazam was made aware of this treachery and, as a result, unleashed a powerful spell on Adam. The wizard extracted Mighty Adam's magic powers and encased them in a mystical scarab necklace, rendering Adam's de-powered body, now several hundred years old, into a withered corpse. Shazam then buried both the body and the scarab in the tomb of Rameses II, where he had planned for it to remain for all eternity. In death, the former hero was referred to as \"Khem-Adam\"" (\""Black Adam\""). Disillusioned by what he perceived as Adam's betrayal",,0
370,"Doctor Psycho (DC)(Post Crisis)","Edward Cizko",370_20070311185326_char.jpg,,"None entered.",,0
373,"Jessica Campbell Jones (Marvel)",,373_20080116115446_char.jpg,"Flight, super strength, high resistance to injury.","Jessica Jones was a lonely Midtown High School student with a crush on fellow student Peter Parker (who would soon become the hero Spider-Man) and a fantasy fixation on the Human Torch. She was on a trip to Disney World with her family when her father, distracted by the backseat quarrel of her and her brother, lost control of their car in an accident with an army truck transporting unidentified experimental material, possibly radioactive, to which Jessica was exposed in the course of the accident. Her father, mother, and brother were killed, and Jessica sustained injuries that put her in a coma for months. While the Fantastic Four clashed with Galactus outside her hospital window, Jessica awoke from her coma; she was placed in a home for wayward children and later adopted by a family named Jones, whose name she took. Months after the accident, while running home from school in an emotionally distraught state, Jessica manifested superhuman powers as a result of the experimental material to which she had been exposed; her inexperienced flying led her to crash-land in the bay, where she was rescued by Thor. She soon realized that she had also gained superhuman strength. While testing her flight capabilities, she chanced upon and defeated the costumed criminal known as the Scorpion, in desperate straits not long after his first defeat by Spider-Man. Proclaimed a hero, Jessica soon took on the costumed identity of Jewel, beginning her heroic career less than three years after Spider-Man's debut. Little is known of Jessica's career as Jewel, but her activities were evidently not as high-profile as those of many of New York's other costumed heroes. Nevertheless, she remained active for around four years, befriending a handful of other heroes, until she came upon a riot provoked by the Purple Man. Using his pheromone powers to take control of her, the Purple Man directed her to attack the approaching police, then held her in his thrall for months, subjecting her to physical and mental humiliation in imagined retaliation for his defeats by other super heroes. Finally, in a fit of insane rage, he sent Jessica to Avengers Mansion hoping she would find and kill his nemesis, Daredevil. Jessica attacked the first hero she saw, the Scarlet Witch, an act that snapped her out of the Purple Man's control. Unprepared to explain her actions, she fled and was pursued by the Avengers, taking a powerful blow from the Vision. Ms. Marvel rescued her from further attack, but Jessica was rendered comatose and cared for in a S.H.I.E.L.D. facility until Phoenix of the X-Men telepathically helped her regain her faculties. After weeks of physical rehabilitation, she was offered the position of S.H.I.E.L.D. liaison to the Avengers, but Jessica felt that her experience had taught her that she was unsuited to the life of a costumed hero, and she gave up her Jewel identity. Moreover, she found that the Purple Man's mistreatment had left her emotionally unsure of herself, particularly in romantic endeavors. Details of Jessica's subsequent life are sparse, although it is known that she was involved in a string of relationships that ended badly, including one with S.H.I.E.L.D. agent Clay Quartermain. She also became close friends with Ms. Marvel, who would undergo her own share of trauma during her Avengers membership and afterward. At one point Jessica attempted to return to costumed action as the Knightress, but this period was brief. She eventually became a licensed private investigator and opened her own firm, Alias Investigations. Jessica's recent string of cases included a surveillance assignment involving a woman whose companion was revealed to be Captain America, who changed from his then-secret identity into costume before Jessica's video camera; when the woman whom he had been photographed with was slain, Jessica realized she had been set up. She was questioned by suspicious police officers but helped out of her predicament by the timely arrival of attorney Matt Murdock. Her investigation led to a fight with enforcer Man-Mountain Marko and the revelation that she had been expected to publicize the video with the intent of creating a scandal defaming Captain America and the US government. With the help of S.H.I.E.L.D., Jessica exposed the plot's mastermind, a man named Zoumas, and received the thanks of Captain America, who encouraged her to return to the heroic life. Jessica next investigated a deranged man claiming to be Avengers associate Rick Jones, who paranoically feared attack by the alien races in whose war the real Jones had intervened. Jessica managed to partially calm his madness and reunited him with his wife. She was then hired by J. Jonah Jameson in an effort to track Spider-Man, only to bilk the publisher by spending his money on charitable endeavors. An out-of-town case led her to help troubled teen Rebecca Cross, who had run away after encouraging people to believe she was a mutant out of rebellion against her town's oppressive atmosphere, but the case ended badly when Rebecca's aunt killed her unjustly accused father. When Daredevil's secret identity as Matt Murdock was exposed, Murdock hired Jessica and the hero-for-hire Luke Cage as bodyguards. This initially proved awkward as Jessica and Cage had had a brief fling which strained their friendship, but they soon resolved their difficulties. Jessica instead began dating Scott Lang, the Avenger known as Ant-Man, with whom she was set up by her friend Carol Danvers, formerly Ms. Marvel and now Warbird. She next found herself investigating the Mutant Growth Hormone trade, and teamed up with fellow superhuman investigator and ex-costumed heroine Jessica Drew to rescue Mattie Franklin, the young heroine formerly known as Spider-Woman, from being misused by the dealers. She also hired the dedicated but annoying young Malcolm Powder as a part-time assistant. When the Kingpin sent the insane assassin Typhoid Mary against Murdock, Jessica and Cage worked together against her, getting her on the ropes so that Murdock could deliver a blow to end the fight. Jessica's greatest challenge came when relatives of some of the Purple Man's victims asked her to confront the imprisoned villain about his many murders, several of them committed on whims, in hopes that he would give their families a sense of closure by confessing to his killings. She was greatly apprehensive about confronting her former tormentor, but being consoled by Cage, she agreed to visit the Purple Man in prison, only to receive no useful information from the psychopathic mind-controller. The Purple Man then escaped in the chaos caused by the breakout of fellow prisoner Carnage, and he sought out Jessica in order to again control her. When the Avengers arrived, he commanded Jessica to fight them, but she activated a psychic defense trigger left in her mind by Phoenix years earlier and defied him, knocking him out with one blow. In the aftermath of the confrontation, Jessica informed Ant-Man that she was pregnant with another man's child and the couple broke up. She instead moved in with Cage, the father, and the two began a long-term relationship. Jessica has since taken a position as a superhuman consultant with the Daily Bugle, working with reporter Ben Urich on stories related to New York's growing super hero population. After their daughter was born, Jessica and Luke were married in the company of their heroic friends.",,0
374,"Adam Strange",,374_20051223202047_char.jpg,"His super-powers are all derived from a special suit that seems to have been made by Sardath, his eventual father-in-law, and the greatest mind of the planet Rann.  This suit heightens his senses, gives him the power of flight and the ability to travel in","A human archaeologist, Adam Strange wanders into a beam of light near an excavation site in South America.  Unbeknownst to him, this \"Zeta Beam\"" is of alien origin",,0
375,"Wildcat (DC)(01 - Ted Grant)","Ted Grant",375_20051223135207_char.jpg,,"None entered.",,0
