CreatorID,CreatorName,CreatorPicture,CreatorBiography,CreatorDOB,ComicID,CreatorBirthplace
52,"Joe Quesada",52_20051220183720_creator.jpg,"Quesada started out as an artist in the early 1990s. His first widely distributed works were for Valiant Comics where he penciled Ninjak and others. Later, he formed his own publishing company, Event Comics, and created Ash, a firefighter with superpowers. Eventually, Event Comics was contracted to do several books for Marvel Comics, dubbed Marvel Knights. Due to the success of this line, Joe Quesada ended up taking a more managerial role at Marvel, and became editor-in-chief of Marvel Comics in 2000. He also sits on the executive board of comic book charity A Commitment To Our Roots. Since becoming editor-in-chief, his artwork or scripts have often been extremely late, especially in the cases of Daredevil: Father and NYX; Quesada cited his other responsibilities as editor-in-chief as the reason for his work being so late, but he has still been heavily criticized for lateness. Joe Quesada is most well known as the editor-in-chief of Marvel Comics. He attained this position in 2000, replacing Bob Harras and becoming the first Hispanic editor-in-chief of Marvel Comics. As editor-in-chief of one of the two largest publishers in the comic book business, his decisions are very influential. He has been the subject of much praise, as well as much criticism. Quesada became editor-in-chief at the same time as Bill Jemas became president, but when Bill Jemas was fired, Quesada stayed on. Joe Quesada is credited with supervising Marvel Comics during a revival and a period of growth in which Marvel Comics recovered from the bankruptcy of the late 1990s. He restored Marvel Comics as the comic book industry leader in market share. He aggressively cut titles which did not sell. Throughout the 1990s, Marvel Comics was known for relying on its large stable of trademarked characters instead of hiring talented creators; Quesada shifted emphasis more toward hiring capable creators. Quesada oversaw the growth of Marvel as a major brand name in the entertainment industry outside of comics with such hit films as X-Men (2000) and Spider-Man (2002). Quesada has tried to turn Marvel Comics from being a solely comic book business to a general entertainment services business. Joe Quesada is known for disliking comic book deaths and imposing a moratorium on the resurrection of dead characters at the beginning of his tenure as editor-in-chief. His moratorium prevented writer Chris Claremont from being immediately able to resurrect Psylocke after her death in 2001. However, over time, this moratorium has been relaxed and more characters have been resurrected — Psylocke herself was resurrected in 2005. He has made recent comments[1] disavowing the rumors of a formal restriction on deaths (the \Dead Means Dead\ policy), when questioned about the recent returns of long-dead characters Colossus and Psylocke, saying instead that the rule for resurrecting dead characters was to examine the circumstances of that character's death and that such events must be story-necessitated, not simply used for higher sales numbers (i.e., as Psylocke's death was not, in his words, \a classic death,\ her resurrection was allowed to explore her further. Joss Whedon's return of Colossus, on the other hand, who had a very significant death - to stop the Legacy Virus - was deemed by Quesada to really \nail it,\ and thus be allowed under the latter reasoning). Joe Quesada also banned the use of editorial footnotes in comic books early in his tenure, though like the case with comic book deaths, this ban has since been somewhat relaxed. Joe Quesada disliked renumbered titles and restored the old numbering (implemented under Bob Harras's tenure) of Amazing Spider-Man, Avengers, and Fantastic Four. However, his tenure has also seen such relaunches as New Avengers.","December 1, 1962",0,"New York, New York"
54,"Dave Gibbons",54_20060516141214_creator.jpg,"Gibbons broke into British Comics by working on horror and action titles for both DC Thomson and IPC. When 2000 AD was set up, Gibbons was brought in as an Art Director. He also drew one of the original strips in “Prog1”, Harlem Heroes, as well as the occasional Future Shock. After the first year he began illustrating Dan Dare, a cherished project for Gibbons who had been a fan of the original series. He was also known, by sight but not by name, to readers of the short lived IPC title Tornado. Much as 2000 AD was \edited\ by the alien Tharg, Tornado was \edited\ by a superhero, Big E, who also worked on the magazine in his alter-ego, Percy Pilbeam. These characters appeared in photos within the comic, and both Big E and Pilbeam were portrayed by Gibbons for the entire 22 issue run of Tornado before it was subsumed into 2000 AD. After leaving 2000AD, Gibbons became the lead artist on Doctor Who Weekly/Monthly, drawing the main comic strip for most of the issues from #1 until #69. Gibbons was one of the British Comic talents identified by Len Wein in 1982 and was hired to draw Green Lantern for DC. He is best known in the US for collaborating with Alan Moore on the 12-issue limited series Watchmen, now one of the best-selling graphic novels of all time. Moore’s meditation on superheroes in an unsuperheroic age was perfectly completed by Gibbon’s precise and detailed art, usually drawn in a regular nine-grid pattern. Gibbons’ most recent complete work (2005) is a black and white graphic novel, The Originals, which he scripted as well as drew. Published by Vertigo, the work is set in the near future, but draws heavily on the imagery of the Mods and Rockers of the 1960s. His current projects include the DC Comics six-issue limited series The Rann/Thanagar War (which ties into the recently released seven-issue Infinite Crisis limited series) and Green Lantern Corps: Recharge. Gibbons also provides the cover artwork for Albion, the Wildstorm six-issue limited series plotted by Alan Moore and written by his daughter Leah and her husband.","April 14th, 1949",0,
55,"Ivan Reis - 'Rodrigo Ivan dos Reis'",55_20130827132151_creator.jpg,"Ivan Reis (real name Rodrigo Ivan dos Reis), born 1976 in São Paulo, is a Brazilian comic book artist. For three years, Reis worked for Mauricio de Sousa in Brazil. He began his international career for Dark Horse working on titles such as Ghost,starting with issue 17 and acting as regular artist until that title finished at issue 36. There, he also worked on The Mask, Time Cop and Xena. Later, he worked for Lightning Comics. At Vertigo, he pencilled an issue of Grant Morrison's The Invisibles. He became better known for Lady Death (Chaos! and CrossGen). Reis also worked on Thing & She-Hulk: The Long Night, Avengers Icons: Vision, Captain Marvel, Iron Man, Defenders and Avengers for Marvel Comics. Since 2004 he's an exclusively DC Comics artist and has worked on Action Comics, Teen Titans, Rann-Thanagar War, Superman, and Infinite Crisis. He's currently pencilling Green Lantern vol. 4.","November 6, 1976",0,"São Paulo"
56,"Marcelo H. Campos - 'Marc Campos'",,"None entered.",,0,
59,"Harvey Richards",,"None entered.",,0,
61,"Peter J. Tomasi",61_20080728101815_creator.jpg,"Starting as an editor at DC in 1993, and working on such titles as Green Lantern, the Batman titles, Aquaman, Hawkman, and JSA, he was an occasional writer on various titles, including JSA, The Outsiders, Steel and The Light Brigade. In 2003, DC promoted him to senior editor. In 2007, Tomasi left his fifteen-year role as an editor and transitioned to one of writer. He began on the limited series Black Adam: The Dark Age, and he is currently the regular writer on the monthly Green Lantern Corps and Nightwing titles. He has also written the Final Crisis tie-in \Requiem\, a tribute to the Martian Manhunter.",,0,
62,"Stephen Wacker",62_20060928120109_creator.jpg,"None entered.",,0,
63,"Alan Moore - 'Curt Vile / Jill Deray / The Original Writer'",63_20051220183256_creator.jpg,"\To paint comic books as childish and illiterate is lazy.  A lot of comic books are very literate—unlike most films.\ — Alan Moore.","November 18, 1953",0,"Northampton, England, United Kingdom"
67,"John Mark Reppion",67_20070404151346_creator.jpg,"John Reppion was born in Liverpool, England in 1978. In 1994, when they were both sixteen, he met Leah Moore, and the two of them were married ten years later, on the 23rd of October 2004. They continue to live in Liverpool, along with their cat Mr. Fluffy. When he was a child, John?s grandfather used to take him to the nearby village of Hale, where he became fascinated by the grave of the village?s legendary giant, John Middleton, reputed to be nine foot three inches tall. This childhood fascination eventually led to John?s first published work, a four-page article in the Fortean Times #187 in August 2004, called The Childe Of Hale. Although John enjoys writing his own articles and short stories, the bulk of his work is done in partnership with his wife Leah. Having kibitzed on some of her early writing, John eventually was co-credited when the pair submitted a proposal to Wildstorm Productions in 2003. This eventually became the six-part series became Wild Girl, with art by Shawn McManus and J. H. Williams III, which was published by Wildstorm between November 2004 and April 2005. Based on Wild Girl, the pair were offered the opportunity to write a new series, Albion, due to debut from Wildstorm in June 2005. This is nothing short of a renaissance of many long-missing and well-loved characters from sixties and seventies British comics, and promises to be one of the most interesting comics to be seen in quite some time. The art is by Shane Oakley and George Freeman, with covers by Dave Gibbons, and is being co-written by Leah Moore and John Reppion, with plotting by Leah's father, Alan Moore. Bio by Anne M Kletcha","11th November 1978",0,Liverpool
68,"Shane Ivan Oakley",,"None entered.",,0,
69,"George Freeman",,"None entered.","May 27, 1951",0,"Selkirk, Manitoba, Canada"
71,"Andy Diggle",1/8/71_20051107131326_creator.jpg,"Andy Diggle is a British comic-book writer, currently under exclusive contract to DC Comics. He studied comic book theory and history at De Montfort University before returning there to teach. In 1997 he joined Egmont Fleetway as an Editorial Assistant on cult British anthology comic 2000AD. He was promoted to Editor in July 2000, winning the 2001 Eagle Award for Favorite Comics Editor. He resigned at the end of 2001 to take up a career as a freelance comics writer. Entertainment Weekly magazine subsequently named him as one of their top 100 \Breakout Stars of 2003\. In October 2005 he renewed his exclusive contract with DC Comics for one year.","22 February 1971",0,"London, UK"
72,"Mark Simpson - 'Jock'",72_20140527205049_creator.jpg,"Jock started working full time for 2000AD and The Judge Dredd Megazine in late 1999. Since then he has worked on a number of different characters, most notably Judge Dredd and Lenny Zero, a character whom he created with writer Andy Diggle. Winning a National Comic Award for best newcomer in 2001, he has drawn the the Eisner award nominated DC Vertigo series 'The Losers' with Andy, and covers for Batman and Detective comics. Nominated for 'best cover artist' in the 2006 Eisner Awards, his other credits include working on the acclaimed Batman Begins movie.","September 24, 1972",0,"East Kilbride, Scotland"
76,"Wes Abbott - 'Comicraft/WA'",,"None entered.",,0,
77,"Richard Friend",,"None entered.",,0,
80,"Allan Heinberg",80_20060710190026_creator.jpg,"None entered.","June 29, 1967",0,
81,"Jim Cheung",81_20061205051038_creator.jpg,"None entered.",,0,
82,"John Dell III",82_20060311143043_creator.jpg,"None entered.",,0,
83,"Justin Ponsor - 'J-Po'",,"He currently resides in Florida where he sometimes gets away from his computer.",4-20-77,0,"San Diego, CA"
84,"Cory Petit",84_20090306165001_creator.jpg,"None entered.","July 31st, 1976",0,
85,"Nicole Wiley",,"None entered.",,0,
86,"Molly Lazer",86_20080515091600_creator.jpg,"None entered.",,0,
87,"Andy Schmidt",87_20060929091709_creator.jpg,"None entered.",,0,
88,"Tom Brevoort",88_20060615210834_creator.jpg,"None entered.","January 17, 1967",0,"Queens, New York City, New York, United States"
91,"Matt Wagner",91_20070813130357_creator.jpg,"None entered.","October 9th, 1961",0,"Lewistown, Pennsylvania, USA"
92,"C.B. Cebulski",92_20060710190235_creator.jpg,"None entered.",,0,
98,"Stan 'The Man' Lee",98_20060311141509_creator.jpg,"Stan Lee (born Stanley Martin Lieber on December 28, 1921) is an American writer, editor, was the Chairman Emeritus of Marvel Comics, and memoirist. Though no longer officially connected to the company, save for the title of \Chairman Emeritus\, Stan Lee remains a visible face in the industry. With several artist co-creators, most notably Jack Kirby and Steve Ditko, he co-created Spider-Man, the Fantastic Four, the X-Men, Hulk, Thor, Iron Man, Daredevil, Doctor Strange, and many other characters, introducing complex, naturalistic characters and a thoroughly shared universe into superhero comic books. He subsequently led the expansion of Marvel Comics from a small publishing house to a large multimedia corporation. Lee was born in New York City, New York, in the apartment of his Romanian-born Jewish immigrant parents, Celia (Solomon) and Jack Lieber. His father, trained as a dress cutter, worked only sporadically after the Great Depression, and the family moved further uptown to the cheaper Manhattan neighborhood of Washington Heights. When Lee was nine, his only sibling, brother Larry Lieber, was born. Lee attended DeWitt Clinton High School in The Bronx, where his family had moved next. A voracious reader who enjoyed writing as a teen, he worked such part-time jobs as writing obituaries for a news service and press releases for the National Tuberculosis Center; delivering sandwiches for the Jack May pharmacy to offices in Rockefeller Center; working as an office boy for a trouser manufacturer; ushering at the Rivoli Theater on Broadway; and selling subscriptions to the New York Herald Tribune newspaper. He graduated high school early, at age 16ï¿½ in 1939, and joined the WPA Federal Theatre Project. With the help of his uncle, Robbie Solomon, the brother-in-law of pulp magazine and comic-book publisher Martin Goodman, Lee became an assistant at the new Timely Comics division of Goodman's company. Timely, by the 1960s, would evolve into Marvel Comics. Lee, whose cousin Jean was Goodman's wife, was formally hired by Timely editor Joe Simon. Young Stanley Lieber's first published work, the text filler \Captain America Foils the Traitor's Revenge\ in Captain America Comics #3 (May 1941), used the pseudonym \Stan Lee\, which years later he would adopt as his legal name. Lee later explained in his autobiography and numerous other sources that he had intended to save his given name for more literary work. This initial story also introduced Captain America's trademark ricocheting shield-toss, which immediately became one of the character's signatures. He graduated from writing filler to actual comics with a backup feature, \'Headline' Hunter, Foreign Correspondent\, two issues later. Lee's first superhero co-creation was the Destroyer, in Mystic Comics #6 (Aug. 1941). Other characters he created during this period fans and historians call the Golden Age of comics include Jack Frost, debuting in USA Comics #1 (Aug. 1941), and Father Time, debuting in Captain America Comics #6 (Aug. 1941). When Simon and his creative partner Jack Kirby left late in 1941, following a dispute with Goodman, the 30-year-old publisher installed Lee, just under 19 years old, as interim editor. The youngster showed a knack for the business that led him to remain as the comic-book division's editor-in-chief, as well as art director for much of that time, until 1972, when he would succeed Goodman as publisher. Lee entered the U.S. Army in early 1942 and served stateside in the Signal Corps, writing manuals, training films, and slogans, and occasionally cartooning. His military classification, he says, was \playwright\; he adds that only nine men in the U.S. Army were given that title. Vincent Fago, editor of Timely's \animation comics\ section, which put out humor and funny animal comics, filled in until Lee returned from his World War II military service in 1945. In the mid-1950s, by which time the company was now generally known as Atlas Comics, a so-called \decency campaign\ led by psychiatrist Dr. Fredric Wertham and Senator Estes Kefauver blamed comic books for corrupting young readers with images of violence and sexuality. Comic-book companies responded by implementing strict internal regulations, and eventually adopted the stringent Comics Code. During this period, Lee wrote comics in various genres including romance, Westerns, humor, science fiction, medieval adventure, horror and suspense. By the end of the decade, Lee, by now living with his family in Hewlett Harbor, New York, on Long Island, had become dissatisfied with his career and considered quitting the field. In the late 1950s, DC Comics editor Julius Schwartz revived the superhero genre and experienced a significant success with its updated version of the Flash, and later with super-team the Justice League of America. In response, publisher Martin Goodman assigned Lee to create a new superhero team. Lee's wife urged him to experiment with stories he preferred, since he was planning on changing careers and had nothing to lose. Jack Kirby also suggested creating heroes with flaws, ones whose superpowers would not enable them to overcome personal problems such as relationships and money. Lee acted on that advice, giving his superheroes a flawed humanity, a change from the ideal archetypes that were typically written for pre-teens. His heroes could have bad tempers, melancholy fits, vanity, greed, etc. They bickered amongst themselves, worried about paying their bills and impressing girlfriends, and even were sometimes physically ill. Before him, most superheroes were idealistically perfect people with no serious, lasting problems: Superman was so powerful that nobody could harm him, and Batman was a billionaire in his secret identity. Lee's superheroes captured the imagination of teens and young adults who were part of the population spike known as the post World War II baby boom. Sales soared and Lee realized that he could have a meaningful and successful career in the medium after all. The first superhero group Lee and artist Jack Kirby created was the family the Fantastic Four. Its immediate popularity led Lee and Marvel's illustrators to produce a cavalcade of new titles. With Kirby, Lee created the Incredible Hulk, Iron Man, the Mighty Thor and the X-Men; with Bill Everett, Daredevil; and with Steve Ditko, Doctor Strange and Marvel's most successful character, Spider-Man. He is also credited along with Kirby with the creation of the Silver Surfer. Stan Lee's Marvel revolution extended beyond the characters and storylines to the way in which comic books engaged the readership and built a sense of community between fans and creators. Lee introduced the practice of including a credit panel on the splash page of each story, naming not just the writer and penciller but also the inker and letterer. Regular news about Marvel staff members and upcoming storylines was presented on the Bullpen Bulletins page, which (like the letter columns that appeared in each title) was written in a friendly, chatty style. Throughout the 1960s, Lee scripted, art-directed, and edited most of Marvel's series; moderated the letters pages; wrote a monthly column called \Stan's Soapbox\; and wrote endless promotional copy, often signing off with his trademark phrase, \Excelsior!\ (which is also the New York state motto). To maintain his taxing workload yet still meet deadlines, he used a system that was used previously by various comic-book studios, but due to Lee's success with it, became known as the \Marvel Method\ or \Marvel style\ of comic-book creation. Typically, Lee would brainstorm a story with the artist and then prepare a brief synopsis rather than a full script. Based on the synopsis, the artist would fill the allotted number of pages by determining and drawing the panel-to-panel storytelling. After the artist turned in penciled pages, Lee would write the word balloons and captions, and then oversee the lettering and coloring. In effect, the artists were co-plotters, whose collaborative first drafts Lee built upon. Because of this system, the exact division of creative credits on Lee's comics has been disputed, especially in cases of comics drawn by Kirby and Ditko. Although Lee has always effusively praised the Marvel artists, some historians argue that their contribution was greater than for which they are given credit. The dispute with Ditko over Spider-Man has sometimes been acrimonious, although he and Lee are formally credited as co-creators in the credits of the 2000s Spider-Man films. In 1971, Lee indirectly reformed the Comics Code. The US Department of Health, Education and Welfare asked Lee to write a story about the dangers of drugs and Lee wrote a story in which Spider-Man's best friend becomes addicted to pills. The three-part story was slated to be published in Amazing Spider-Man #96-98, but the Comics Code Authority refused it because it depicted drug use; the story context was considered irrelevant. With his publisher's approval, Lee published the comics without the CCA seal. The comics sold well and Marvel won praise for its socially conscious efforts. The CCA subsequently loosened the Code to permit negative depictions of drugs, among other new freedoms. Lee also supported using comic books to provide some measure of social commentary about the real world, often dealing with racism and bigotry. \Stan's Soapbox,\ besides promoting an upcoming comic book project, also addressed issues of discrimination, intolerance or prejudice. In addition, Lee took to using sophisticated vocabulary for the stories' dialogue to encourage readers to learn new words. Lee has justified this by saying \If a kid has to go to a dictionary, that's not the worst thing that could happen.\ In later years, Lee became a figurehead and public face for Marvel Comics. He made appearances at comic book conventions around America, lecturing at colleges and participating in panel discussions. He moved to California in 1981 to develop Marvel's TV and movie properties. He has been an executive producer for, and has made cameo appearances in Marvel film adaptations and other movies. Lee was befriended by a former lawyer named Peter Paul, who supervised the negotiation of a non-exclusive contract with Marvel Comics for the first time in Lee's lifetime employment with Marvel. This enabled Paul and Lee to start a new Internet-based superhero creation, production and marketing studio, Stan Lee Media, in 1998. It grew to 165 people and went public, but near the end of 2000, investigators discovered illegal stock manipulation by Paul and corporate officer Stephan Gordon. Stan Lee Media filed for bankruptcy in February 2001, and Paul fled to Sï¿½o Paulo, Brazil. He was extradited back to the U.S., and pled guilty to violating SEC Rule 10b-5 in connection with trading of his stock in Stan Lee Media. Lee was never implicated in the scheme. Lee created the risquï¿½ animated superhero series Stripperella for Spike TV. In 2004, he announced plans to collaborate with Hugh Hefner on a similar superhero cartoon featuring Playboy Playmates. He also announced a superhero program that would feature Ringo Starr, the former Beatle, as the lead character.  Additionally, in August of that year, Lee announced the launch of Stan Lee's Sunday Comics, hosted by Komikwerks.com, where monthly subscribers could read a new, updated comic and \Stan's Soapbox\ every Sunday. The column has not been updated since Feb. 15, 2005. In 2005, Lee, Gill Champion and Arthur Lieberman formed POW! (Purveyors of Wonder) Entertainment to develop film, television and video game properties. The first film produced by POW! was the TV movie Lightspeed (also advertised as Stan Lee's Lightspeed), which aired on the Sci Fi Channel on July 26, 2006. POW! president and CEO Champion said in 2005 that Lee was creating a new superhero, Foreverman, for a Paramount Pictures movie, in tandem with producer Robert Evans and Idiom Films, with Peter Briggs hired to collaborate with Lee on the screenplay. Lee in 2005 filed a lawsuit against Marvel for his unpaid share of profits from Marvel movies, winning a settlement of more than $10 million. Marvel, in 2006, commemorated Lee's 65 years with the company by publishing a series of one-shot comics starring Lee himself meeting and interacting with many of his creations, including Spider-Man, Dr. Strange, The Thing, Silver Surfer and Dr. Doom. These comics also featured short pieces by such comics creators as Joss Whedon and Fred Hembeck, as well as reprints of classic Lee-written adventures. In 2007, POW! Entertainment started a series of direct-to-DVD animated films under the Stan Lee Presents banner. Each film focuses on a new superhero, created by Stan Lee for the series. The first two releases were Mosaic and The Condor. In June 2007, Walt Disney Studios entered into an exclusive multi-year first look deal with Stan Lee and POW! Entertainment. \It's like the realization of a dream. Ever since I was a young boy, Disney represented the best and most exciting film fare to me. ... I look forward with indescribable enthusiasm to being a part of that world and contributing whatever I can to keep the legend alive and growing,\ said Lee.","December 28th, 1921",0,"New York City, New York, USA"
99,"John Byrne",99_20051220173605_creator.jpg,"John Lindley Byrne (born July 6, 1950, Walsall) is a British-born naturalised American author and artist of comic books. Since the mid-1970s Byrne has worked on nearly every major American superhero. His most famous works have been on Marvel Comics's X-Men and Fantastic Four and the 1986 relaunch of DC Comics's Superman franchise. During the 1990s he produced a number of creator-owned works including Next Men and Danger Unlimited. He currently continues to do work for DC Comics, on titles such as Action Comics and Blood of the Demon.","July 6, 1950",0,"Walsall, Staffordshire, England, United Kingdom"
100,"Jack 'King' Kirby",100_20060406221857_creator.jpg,"Jacob Kurtzberg grew up on Suffolk Street in New York's Lower East Side, attending elementary school at P.S. 20. His father, a garment-factory worker, was a Conservative Jew, and Jacob attended Hebrew school. Jacob's one sibling, a brother five years younger, predeceased him. After a rough-and-tumble childhood with much fighting among the kind of kid gangs he would render more heroically in his future comics, Kirby enrolled at the Pratt Institute in Brooklyn, at what he said was age 14, leaving after a week. \I wasn't the kind of student that Pratt was looking for. They wanted people who would work on something forever. I didn't want to work on any project forever. I intended to get things done.\1 Essentially self-taught, Kirby cited among his influences the comic strip artists Alex Raymond and Milt Caniff. Kirby joined the Lincoln Newspaper Syndicate in 1936, working there on newspaper comic strips and on single-panel advice cartoons such as Your Health Comes First (under the pseudonym \Jack Curtiss\). Kirby remained until the firm went out of business in 1938, then worked for the movie animation company Fleischer Studios as an \in-betweener\, an artist who fills in the action between major-movement frames, on Popeye cartoons. \I went from Lincoln to Fleischer,\ he recalled. \From Fleischer I had to get out in a hurry because I couldn't take that kind of thing,\ describing it as \a factory in a sense, like my father's factory. They were manufacturing pictures.\2 Around this time, \I began to see the first comic books appear.\2 The first American comic books were reprints of newspaper comic strips; soon, these tabloid-size, 10-inch by 15-inch \comic books\ began to include original material in comic-strip form. Kirby began writing and drawing such material for the comic book packager Eisner & Iger, one of a handful of firms creating comics on demand for publishers. Through that company, Kirby did what he remembers as his first comic book work, for Wild Boy Magazine.3 This was followed by such strips as the science fiction adventure The Diary of Dr. Hayward (under the pseudonym \Curt Davis\), the modern-West crimefighter strip Wilton of the West (as \Fred Sande\), the swashbuckler strip \The Count of Monte Cristo\ (as Jack Curtiss), and the humor strips Abdul Jones (as \Ted Grey)\ and Socko the Seadog (as \Teddy\), for Jumbo Comics and other Eisner-Iger clients. Kirby moved on to comic book publisher and newspaper syndicator Fox Feature Syndicate, earning a then quite-reasonable $15 a week salary. He began exploring superhero narrative with the comic strip The Blue Beetle (January–March 1940), starring a character created by Chuck Cuidera4 in Mystery Men Comics #1 under the pseudonym, \Charles Nicholas\, which Kirby retained.","August 29, 1917",0,"New York City, NY"
102,"Geoff Johns",102_20140421003057_creator.jpg,"Geoff Johns (born January 25, 1973 in Detroit, Michigan) is an American writer of comic books. He graduated from Clarkston High School in 1991 and from Michigan State University in 1995. Johns has written issues of The Avengers, JSA, The Flash, Teen Titans, Hawkman, Wonder Woman, and Green Lantern: Rebirth. Johns is also the writer of the current DC Comics event Infinite Crisis. This event, the sequel to 1985's Crisis on Infinite Earths, will significantly alter the status-quo of the DCU. Johns started out as a somewhat cult writer on Flash, before reaching stardom through Rebirth and his Titans relaunch. In 2000, he replaced James Robinson as David Goyer's co-writer on JSA. In 2003, with issue #51, Goyer left the title, and Johns has written it solo ever since. While in DC, he is known for creating Stargirl and a new version of the character Zoom for the current Flash. As of 2005, Johns shares a writing studio with Jeph Loeb and Allan Heinberg. Heinberg and Johns recently finished a JLA arc that bridged the aftermath of the miniseries Identity Crisis to the beginnings of Infinite Crisis. He also completed his five year run on Flash with issue #225. Johns is currently co-writing the Blade television series with David Goyer for Spike TV. In the summer of 2005, Johns and other prominent DC Universe writers Grant Morrison, Mark Waid, Greg Rucka, and Keith Giffen played a heavy editorial role in guiding the DC Universe after the events of Infinite Crisis. Among other projects, the writers will be contributing to a weekly series called 52 that is to last for one year and cover the events that take place between the last issue of the Infinite Crisis mini-series and the issues of all DC Universe titles the following month that will now be set one year later. In December 2005, Wizard magazine named Johns its \Man of the Year\ for his creative writing and editing work on DCU's Infinite Crisis. Johns based his Stargirl character Courtney Whitmore on his sister Courtney, who died in a plane crash in July 1996.","January 25, 1973",0,"Detroit, Michigan"
